2019-09-06 17:28:13	1	12345678	200000	1	2	0	1	11050	12050
2019-09-06 17:28:33	1	12345678	200000	2	3	10	1	12350	8750
2019-09-06 17:28:59	1	12345678	200000	3	4	36	1	11850	2450
2019-09-06 17:29:08	1	12345678	200000	4	5	74	1	9750	3250
2019-09-06 17:31:19	1	12345678	200000	5	6	154	1	5350	5950
2019-09-06 17:31:42	1	12345678	200000	6	8	238	1	3450	11350
2019-09-06 17:32:15	1	12345678	200000	8	10	326	1	5350	11350
2019-09-06 17:32:35	1	12345678	200000	10	11	326	1	9250	10050
2019-09-06 17:38:45	1	12345678	200001	1	2	0	1	11050	12050
2019-09-06 17:47:30	1	123896548	200002	1	2	0	1	11050	12050
2019-09-06 17:47:41	1	123896548	200002	2	3	10	1	12312	8826
2019-09-06 17:51:02	1	123896548	200002	3	4	36	1	12150	3150
2019-09-06 17:51:14	1	123896548	200002	4	5	36	1	9750	3250
2019-09-06 17:52:43	1	12345678	200001	2	3	10	1	12350	8750
2019-09-06 17:53:09	1	12345678	200001	3	4	2	1	12350	2050
2019-09-06 17:53:13	1	123896548	200002	5	6	120	1	5350	5950
2019-09-06 17:53:43	1	12345678	200001	4	5	40	1	9750	3250
2019-09-06 17:53:44	1	123896548	200002	6	8	204	1	3050	11350
2019-09-06 17:54:31	1	123896548	200002	8	10	292	1	5350	11350
2019-09-06 17:55:09	1	123896548	200002	10	11	292	1	9250	10050
2019-09-06 17:55:39	1	12345678	200001	5	6	120	1	5350	5950
2019-09-06 17:56:26	1	123896548	200002	11	12	292	1	12650	11050
2019-09-06 17:56:42	1	12345678	200001	6	8	204	1	3450	11350
2019-09-06 17:57:06	1	123896548	200002	12	13	292	1	10450	15350
2019-09-06 17:57:18	1	12345678	200001	8	10	292	1	5350	11350
2019-09-06 17:57:37	1	123896548	200002	13	15	430	1	10350	17050
2019-09-06 17:57:58	1	123896548	200002	15	17	574	1	14150	14850
2019-09-06 17:57:59	1	12345678	200001	10	11	292	1	9250	10050
2019-09-06 17:58:19	1	12345678	200001	11	12	292	1	12650	11050
2019-09-06 17:58:30	1	123896548	200002	17	19	824	1	15350	11250
2019-09-06 17:58:48	1	12345678	200001	12	13	292	1	10450	15350
2019-09-06 17:58:51	1	123896548	200002	19	21	980	1	15750	6050
2019-09-06 17:59:00	1	123896548	200002	21	22	980	1	17750	4750
2019-09-06 17:59:27	1	12345678	200001	13	15	430	1	10350	17050
2019-09-06 17:59:51	1	123896548	200002	22	25	8820	19	3750	4050
