2019-09-11 15:06:37	2	1	1	test1	200009	1	0	2001	215	1	1	连续登陆奖励物品
2019-09-11 15:06:37	2	1	1	test1	200009	1	0	2000	216	1	1	连续登陆奖励物品
2019-09-11 16:35:59	2	1	1	12345678	200001	1	0	4000	32	1	2	连续登陆奖励物品
2019-09-11 16:36:01	2	1	1	12345678	200001	1	0	2001	21	2	3	累计登陆普通奖励
2019-09-11 16:36:01	2	1	1	12345678	200001	1	0	2017	220	1	1	累计登陆普通奖励
2019-09-11 16:36:04	2	1	1	12345678	200001	1	0	2001	21	1	4	升级有礼奖品
2019-09-11 16:55:55	2	1	1	12345678	200000	1	0	2001	6	2	3	累计登陆普通奖励
2019-09-11 16:55:55	2	1	1	12345678	200000	1	0	2017	223	1	1	累计登陆普通奖励
2019-09-11 16:55:56	2	1	1	12345678	200000	1	0	2001	6	3	6	累计登陆普通奖励
2019-09-11 16:56:28	2	1	1	12345678	200000	1	0	2016	12	5	6	任务奖励
2019-09-11 16:56:34	2	1	1	12345678	200000	1	0	2016	12	-1	5	物品使用
2019-09-11 16:58:46	2	1	1	12345678	200000	1	0	2016	12	-1	4	物品使用
2019-09-11 17:39:35	2	1	1	test1	200009	1	0	2001	215	1	2	累计登陆普通奖励
2019-09-11 17:39:36	2	1	1	test1	200009	1	0	2001	215	2	4	累计登陆普通奖励
2019-09-11 17:39:36	2	1	1	test1	200009	1	0	2017	231	1	1	累计登陆普通奖励
