2019-09-07 14:10:16	1	123896548	200002	2631	3119
2019-09-07 17:37:13	1	123456789	200007	0	475
2019-09-07 17:37:13	1	123456789	200007	475	862
2019-09-07 17:37:13	1	123456789	200007	862	1274
2019-09-07 17:44:16	1	123456789	200007	1274	1365
2019-09-07 17:47:49	1	123456789	200007	1365	1739
2019-09-07 17:47:50	1	123456789	200007	1739	2158
2019-09-07 17:47:50	1	123456789	200007	2158	2609
2019-09-07 17:52:53	1	123456789	200007	2609	3038
2019-09-07 17:52:54	1	123456789	200007	3038	3480
2019-09-07 17:52:55	1	123456789	200007	3480	3959
2019-09-07 17:52:55	1	123456789	200007	3959	4445
