2019-09-06 17:31:03	2	1	1	12345678	200000	1	0	2002	4	1	1	连续登陆奖励物品
2019-09-06 17:31:07	2	1	1	12345678	200000	1	0	2001	6	1	1	累计登陆普通奖励
2019-09-06 17:32:35	2	1	1	12345678	200000	1	0	4000	9	1	1	任务奖励
2019-09-06 17:33:56	2	1	1	12345678	200000	1	0	2016	12	1	1	每日在线奖励物品
2019-09-06 17:49:35	2	1	1	12345678	200001	1	0	2001	21	1	1	累计登陆普通奖励
2019-09-06 17:55:09	2	1	1	123896548	200002	1	0	4000	27	1	1	任务奖励
2019-09-06 17:56:27	2	1	1	123896548	200002	1	0	2016	28	5	5	任务奖励
2019-09-06 17:56:44	2	1	1	123896548	200002	1	0	2016	28	-1	4	物品使用
2019-09-06 17:56:45	2	1	1	123896548	200002	1	0	2016	28	-1	3	物品使用
2019-09-06 17:56:46	2	1	1	123896548	200002	1	0	2016	28	-1	2	物品使用
2019-09-06 17:56:46	2	1	1	123896548	200002	1	0	2016	28	-1	1	物品使用
2019-09-06 17:56:46	2	1	1	123896548	200002	1	0	2016	28	-1	0	物品使用
2019-09-06 17:57:59	2	1	1	12345678	200001	1	0	4000	32	1	1	任务奖励
2019-09-06 17:58:21	2	1	1	12345678	200001	1	0	2016	33	5	5	任务奖励
2019-09-06 17:58:39	2	1	1	12345678	200001	1	0	2016	33	-1	4	物品使用
2019-09-06 17:58:40	2	1	1	12345678	200001	1	0	2016	33	-1	3	物品使用
