2019-10-29 09:39:48	1 1111	200013	8	192.168.2.243.64147 
2019-10-29 09:48:49	1 1111	200013	8	192.168.2.243.64622 
2019-10-29 09:57:41	1 aaa	200011	3	192.168.2.150.50851 
2019-10-29 09:59:41	1 1111	200013	8	192.168.2.243.65003 
2019-10-29 10:03:30	1 1111	200013	8	192.168.2.243.65366 
2019-10-29 10:16:02	1 1111	200013	10	192.168.2.243.49295 
2019-10-29 10:18:13	1 1111	200014	1	192.168.2.243.49326 
2019-10-29 10:20:58	1 1111	200014	1	192.168.2.243.49476 
2019-10-29 10:27:00	1 1111	200014	1	192.168.2.243.49587 
2019-10-29 10:30:40	1 1111	200013	12	192.168.2.243.49699 
2019-10-29 10:36:31	1 aaa	200011	5	192.168.2.150.51114 
2019-10-29 10:44:02	1 1111	200014	1	192.168.2.243.49901 
2019-10-29 10:48:26	1 1111	200013	12	192.168.2.243.49999 
2019-10-29 10:52:39	1 1111	200014	1	192.168.2.243.50184 
2019-10-29 10:56:33	1 1111	200013	12	192.168.2.243.50281 
2019-10-29 10:58:49	1 1111	200013	12	192.168.2.243.50368 
2019-10-29 11:12:44	1 1111	200013	12	192.168.2.243.50596 
2019-10-29 11:13:50	1 1111	200013	12	192.168.2.243.50624 
2019-10-29 11:15:10	1 1111	200014	1	192.168.2.243.50676 
2019-10-29 11:20:19	1 1111	200013	12	192.168.2.243.50850 
2019-10-29 11:29:24	1 1111	200013	12	192.168.2.243.51282 
2019-10-29 11:31:40	1 1111	200014	1	192.168.2.243.51444 
2019-10-29 11:34:02	1 1111	200013	12	192.168.2.243.51499 
2019-10-29 11:35:15	1 1111	200013	12	192.168.2.243.51535 
2019-10-29 13:48:18	1 1111	200013	12	192.168.2.243.55918 
2019-10-29 14:21:39	1 1111	200014	6	192.168.2.243.57489 
2019-10-29 14:23:35	1 1111	200014	6	192.168.2.243.57534 
2019-10-29 14:27:15	1 1111	200013	12	192.168.2.243.57626 
2019-10-29 14:48:28	1 1111	200013	12	192.168.2.243.58209 
2019-10-29 14:58:45	1 1111	200014	6	192.168.2.243.58519 
2019-10-29 15:00:59	1 1111	200014	6	192.168.2.243.58603 
2019-10-29 15:02:39	1 1111	200013	12	192.168.2.243.58673 
2019-10-29 15:19:15	1 1111	200014	6	192.168.2.243.59199 
2019-10-29 15:23:06	1 1111	200014	6	192.168.2.243.59279 
2019-10-29 15:27:00	1 1111	200014	6	192.168.2.243.59338 
2019-10-29 15:30:11	1 1111	200014	6	192.168.2.243.59444 
2019-10-29 15:31:54	1 1111	200014	6	192.168.2.243.59490 
2019-10-29 15:41:42	1 1111	200014	6	192.168.2.243.59930 
2019-10-29 15:53:25	1 1111	200014	6	192.168.2.243.60165 
