2019-10-29 09:59:30	1	aaa	200011	3	4	50	1	11750	2850
2019-10-29 09:59:39	1	aaa	200011	4	5	140	1	9750	3250
2019-10-29 10:06:30	1	1111	200013	8	10	728	1	5750	10950
2019-10-29 10:16:52	1	1111	200013	10	11	728	1	9250	10050
2019-10-29 10:17:16	1	1111	200013	11	12	728	1	12650	11050
2019-10-29 11:32:32	1	1111	200014	1	2	0	1	11050	12050
2019-10-29 11:32:44	1	1111	200014	2	3	10	1	12350	8750
2019-10-29 11:33:11	1	1111	200014	3	4	50	1	12650	4150
2019-10-29 11:33:19	1	1111	200014	4	5	140	1	9950	3650
2019-10-29 11:33:40	1	1111	200014	5	6	422	1	5350	5950
