2019-09-12 12:00:35	1	12345678	200000	15	17	1154	1	14150	14850
2019-09-12 12:01:19	1	12345678	200000	17	19	1594	1	15350	11250
2019-09-12 14:29:54	1	12345678	200000	19	21	1933	1	15750	6050
2019-09-12 14:30:06	1	12345678	200000	21	22	1933	1	17750	4750
2019-09-12 14:31:46	1	12345678	200000	22	25	9673	19	3850	4250
2019-09-12 14:32:21	1	12345678	200000	25	31	3533	1	17550	4750
2019-09-12 14:44:47	1	test1	200009	22	25	10914	19	3550	4550
2019-09-12 15:00:32	1	test1	200009	25	31	4374	1	17750	4750
2019-09-12 15:04:05	1	test1	200009	31	32	4374	2	1950	6150
2019-09-12 15:13:26	1	12345678	200000	31	32	3533	2	1750	6150
2019-09-12 15:15:11	1	12345678	200000	32	34	4083	2	3950	2650
2019-09-12 15:15:56	1	12345678	200000	34	36	4535	2	8350	3550
2019-09-12 15:16:13	1	12345678	200000	36	37	4535	2	6250	5550
2019-09-12 15:16:57	1	12345678	200000	37	39	4999	2	4150	10050
